MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
316001252,2024-01-01T00:00:05,48.68902,-123.40947,0.0,72.5,244.0,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60.0,0.0,96.0,21.0,3.7,60.0,A
248727000,2024-01-01T00:00:06,32.02417,-81.04617,0.1,137.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
305723000,2024-01-01T00:01:03,26.09262,-80.11391,6.0,51.8,65.0,PARADERO,IMO9368998,V2QV7,71.0,0.0,140.0,22.0,6.3,71.0,A
248727000,2024-01-01T00:01:07,32.02417,-81.04617,0.1,136.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
235096399,2024-01-01T00:01:33,27.78969,-97.39082,0.9,123.4,511.0,ASSINIE,IMO0000000,2GDG3,37.0,,6.0,0.0,,,B
232037794,2024-01-01T00:02:05,25.78166,-80.15023,7.2,284.5,511.0,KUDU,IMO0000000,MJVY2,37.0,,0.0,0.0,,,B
248727000,2024-01-01T00:02:08,32.02417,-81.04617,0.0,94.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
316001252,2024-01-01T00:01:15,48.68902,-123.40947,0.0,241.2,243.0,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60.0,0.0,96.0,21.0,3.7,60.0,A
316001252,2024-01-01T00:02:24,48.68902,-123.40947,0.0,132.7,243.0,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60.0,0.0,96.0,21.0,3.7,60.0,A
248727000,2024-01-01T00:03:18,32.02417,-81.04617,0.1,212.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
316001252,2024-01-01T00:03:34,48.68902,-123.40947,0.0,124.4,243.0,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60.0,0.0,96.0,21.0,3.7,60.0,A
248727000,2024-01-01T00:04:27,32.02417,-81.04617,0.1,326.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
316001252,2024-01-01T00:05:55,48.68902,-123.40947,0.0,189.7,243.0,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60.0,0.0,96.0,21.0,3.7,60.0,A
248727000,2024-01-01T00:05:37,32.02417,-81.04617,0.1,151.0,328.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
248727000,2024-01-01T00:07:58,32.02417,-81.04617,0.0,315.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
316001252,2024-01-01T00:07:05,48.68902,-123.40947,0.0,351.7,243.0,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60.0,0.0,96.0,21.0,3.7,60.0,A
316001252,2024-01-01T00:08:14,48.68902,-123.40947,0.0,184.4,243.0,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60.0,0.0,96.0,21.0,3.7,60.0,A
248727000,2024-01-01T00:09:08,32.02417,-81.04617,0.0,215.0,327.0,AMORAZUR II,IMO8981664,9HB2042,37.0,0.0,45.0,9.0,2.7,37.0,A
316001252,2024-01-01T00:09:24,48.68902,-123.40947,0.0,323.4,243.0,QUEEN OF CUMBERLAND,IMO9009360,VG2029,60.0,0.0,96.0,21.0,3.7,60.0,A
